src, tgt
23+25+63=, 111
47+85-32=, 100
39+49+70=, 158
28+73+94=, 195
36-13-29=, -6
30+21+54=, 105
62+14-83=, -7
97+63+35=, 195
47+27-77=, -3
30+75-21=, 84
14-85-95=, -166
79-41-54=, -16
93-32+75=, 136
56+88+24=, 168
66+29-44=, 51
84-78+92=, 98
74-53-92=, -71
99-25-62=, 12
62+86-88=, 60
36+24+62=, 122
78-34-86=, -42
15+55-65=, 5
80+59+80=, 219
97-84-64=, -51
17+30+31=, 78
51-47-81=, -77
30+65+94=, 189
99-88+52=, 63
33-66-31=, -64
49-40-30=, -21
20+16-25=, 11
91+61-69=, 83
99-80+33=, 52
86+89+75=, 250
65+27-47=, 45
20+13+48=, 81
94+35+57=, 186
42-12-82=, -52
36+51-15=, 72
88+14+28=, 130
12-75-39=, -102
67+50+49=, 166
26-57+43=, 12
21-45-21=, -45
87-20+32=, 99
63+23-12=, 74
63+37+57=, 157
48-35+84=, 97
13+60-36=, 37
46+51+41=, 138
11-90+96=, 17
61+62+21=, 144
53+96-91=, 58
79+13+51=, 143
31-20+86=, 97
32-60+28=, 0
61-66+46=, 41
11-29-59=, -77
62+31-60=, 33
65-20+81=, 126
64+74-59=, 79
68+48+11=, 127
85+44+40=, 169
90+67-22=, 135
29-67-97=, -135
62-65-77=, -80
58-51-53=, -46
98-95+56=, 59
94-55+60=, 99
60+44-55=, 49
85+63+35=, 183
81+88-66=, 103
86-66+14=, 34
56+51+63=, 170
32+57-69=, 20
62-72+55=, 45
71-25+84=, 130
17-83+37=, -29
39-37+11=, 13
92+11-14=, 89
31+72-38=, 65
46-26+27=, 47
80-15+42=, 107
98+18-61=, 55
35+89-38=, 86
98+41+41=, 180
11-25-20=, -34
61-76-64=, -79
22+42-57=, 7
16-19-76=, -79
37-61+51=, 27
88-40+30=, 78
80-91-66=, -77
96+91-88=, 99
31+91+37=, 159
16-31-91=, -106
11-89+79=, 1
81-11-11=, 59
41-46+38=, 33
68-59-50=, -41
49-25+29=, 53
99-77-21=, 1
80+61+23=, 164
95+97-86=, 106
78-16+54=, 116
83+66+25=, 174
98-63-47=, -12
97+83-68=, 112
91+21-45=, 67
96-79-44=, -27
38-50+93=, 81
27+32-42=, 17
92+93+97=, 282
91+26-73=, 44
97+78-81=, 94
46-13+12=, 45
85+25-29=, 81
55+84-32=, 107
81+97+76=, 254
51-66-69=, -84
28+17-28=, 17
16+72+89=, 177
11+46+68=, 125
85-68+49=, 66
54-59+48=, 43
22-67+29=, -16
96+18-88=, 26
82+86-24=, 144
53-33-77=, -57
41+77-28=, 90
31-70-29=, -68
12+62+70=, 144
65+95-63=, 97
39-46-77=, -84
83+95-30=, 148
19-20-58=, -59
74+46+31=, 151
48-63+10=, -5
15-92-15=, -92
42+47-18=, 71
70-94-89=, -113
59-95-66=, -102
21+41+72=, 134
65+95+60=, 220
67-67+30=, 30
39+12+24=, 75
72+61+85=, 218
11-66-63=, -118
68-21+47=, 94
72+70+31=, 173
11+38+63=, 112
99+70-69=, 100
97-14+91=, 174
80-70+27=, 37
31-41+14=, 4
77-89-76=, -88
65-49-75=, -59
46-30-83=, -67
35+75-59=, 51
41-17-77=, -53
64+81+78=, 223
50+41-67=, 24
20+27+29=, 76
68-77+34=, 25
54-81-32=, -59
37-52-81=, -96
13+65-79=, -1
51+98-61=, 88
37-66-70=, -99
16+95+53=, 164
89+14-93=, 10
31-77-65=, -111
33-17+96=, 112
84+81+30=, 195
92+95+40=, 227
91+99-26=, 164
96+59+99=, 254
64-37+80=, 107
93-79+35=, 49
44+97-12=, 129
24+57-58=, 23
20-17-92=, -89
98-36+48=, 110
30-80+37=, -13
61+89-87=, 63
49+51-34=, 66
56-92+49=, 13
46-92+52=, 6
73-61+28=, 40
19-58-82=, -121
72+92+19=, 183
88+18+58=, 164
40-82+68=, 26
50-45-89=, -84
90-34-44=, 12
44-60+59=, 43
79+37-10=, 106
39+32-94=, -23
90-80-12=, -2
52+12-49=, 15
32-93+13=, -48
43-99+30=, -26
86-84-31=, -29
73-31-40=, 2
79-40+36=, 75
73+96-57=, 112
15-70-76=, -131
21+13+80=, 114
15-71-96=, -152
84+47+42=, 173
56-93+44=, 7
61+16+42=, 119
77+57+36=, 170
71+16+46=, 133
82-37-90=, -45
21+94+78=, 193
25+39-44=, 20
57-52-85=, -80
13+38+58=, 109
99-49+54=, 104
40+46-53=, 33
19+74+79=, 172
18+36-68=, -14
48-19-96=, -67
39-22+25=, 42
38-22-89=, -73
45-67-59=, -81
31+48+31=, 110
39+27-38=, 28
17+51-47=, 21
52+14-30=, 36
88+80+88=, 256
91+10-50=, 51
75-31+51=, 95
26+72-28=, 70
97-85+79=, 91
16+86-42=, 60
84+92+24=, 200
65+23-87=, 1
80+83+61=, 224
19-48-78=, -107
72+70-19=, 123
17-87-64=, -134
16+84+88=, 188
44+70-12=, 102
91-54-77=, -40
63-22+72=, 113
59-20+50=, 89
54-92+47=, 9
95-97+36=, 34
96-13+82=, 165
79+20+28=, 127
87+98-96=, 89
72+51-68=, 55
75-72-72=, -69
82+40+97=, 219
31-89-75=, -133
46+91-10=, 127
32+43-59=, 16
97+74-46=, 125
67-67+62=, 62
67-98-73=, -104
78-54-28=, -4
21-54-12=, -45
65+71+96=, 232
72-81+54=, 45
92-34-75=, -17
63-70+97=, 90
23+25-61=, -13
29-86+42=, -15
57-56-41=, -40
61-88+11=, -16
29+87-93=, 23
12-27-56=, -71
34+76-18=, 92
50-92+54=, 12
36-78-28=, -70
42-20+90=, 112
34-99+24=, -41
91+86+29=, 206
45-24-20=, 1
24-18-18=, -12
35+94-75=, 54
75-48+13=, 40
57-40-98=, -81
38+78-74=, 42
53-44+31=, 40
96+54-62=, 88
63+67-81=, 49
25+72+92=, 189
94-93+98=, 99
43-64-58=, -79
33+43-24=, 52
49+68-77=, 40
64-49+96=, 111
68+37-45=, 60
63+56-49=, 70
24-75+23=, -28
27+56+65=, 148
67-75-31=, -39
50+36+23=, 109
92+16-53=, 55
72-30-73=, -31
90-57+91=, 124
39+92+75=, 206
28+96+56=, 180
61+42+83=, 186
10-18-41=, -49
29+10-98=, -59
47-62+87=, 72
73+53+64=, 190
21+10-24=, 7
58+33-15=, 76
65-85+41=, 21
20-29+59=, 50
18+66-21=, 63
51-32+73=, 92
12-84+66=, -6
97+14+46=, 157
35+69-42=, 62
68-32-72=, -36
69+51+86=, 206
85+18-37=, 66
83+24-51=, 56
59+31+26=, 116
30+86-77=, 39
82+62-29=, 115
58+38-82=, 14
13+25+68=, 106
66+96-69=, 93
81-15-66=, 0
70+66+33=, 169
78-47+30=, 61
73-54-58=, -39
78-29-63=, -14
30+10+62=, 102
26+49+55=, 130
98-99-46=, -47
25+74+87=, 186
20+69-90=, -1
18+32+43=, 93
36-52-11=, -27
57-48-31=, -22
30+84-94=, 20
45+53+29=, 127
47+97+52=, 196
25-63-51=, -89
45-89-78=, -122
80-56+27=, 51
26-62+60=, 24
93+81+96=, 270
58+39+29=, 126
72+16+60=, 148
49-28+26=, 47
31-29-96=, -94
19+25-39=, 5
71+60-59=, 72
26+25+40=, 91
85+30+51=, 166
19+42-69=, -8
72-80-29=, -37
73+38-60=, 51
46+53+50=, 149
36-16+93=, 113
52+29-85=, -4
61+15+63=, 139
41-58+22=, 5
47-48+60=, 59
61-29-27=, 5
46-99+91=, 38
49+30-98=, -19
70+22+16=, 108
56-43+59=, 72
12+20+35=, 67
34+37-14=, 57
95-76-49=, -30
47+81-92=, 36
16-47+28=, -3
12+91+52=, 155
69-46-76=, -53
20-71-39=, -90
47-99-78=, -130
94-92+82=, 84
92+19-61=, 50
95+74+49=, 218
11+48+74=, 133
40+74-28=, 86
20-68+82=, 34
77-10-38=, 29
98+93+56=, 247
49-73-36=, -60
21+29-51=, -1
65+80-74=, 71
63+49+87=, 199
66+10-42=, 34
78+66-88=, 56
80-82+80=, 78
94+65+46=, 205
89-94+71=, 66
12-95+87=, 4
84-68+95=, 111
82-67+87=, 102
38+53+89=, 180
97+71-24=, 144
12+71-24=, 59
81+82+93=, 256
52-69+11=, -6
11+14+16=, 41
77+35+77=, 189
33-63+62=, 32
37-62-58=, -83
29+13-20=, 22
51+35-11=, 75
88+70-23=, 135
46-39+60=, 67
82+47+92=, 221
31+26-34=, 23
75-80-79=, -84
16-66+24=, -26
43-16-90=, -63
83+77-37=, 123
54+40+85=, 179
82-10+18=, 90
69+72+36=, 177
38+21-54=, 5
69-88+74=, 55
14-38-91=, -115
61-62-89=, -90
15+57+91=, 163
60+92+90=, 242
80+35+28=, 143
65+37-78=, 24
65+51+64=, 180
16-52+87=, 51
84+90+17=, 191
65+49+82=, 196
16+18-11=, 23
36+63-35=, 64
44+71-93=, 22
89+73-51=, 111
73-54+16=, 35
30+31+23=, 84
45+49-44=, 50
74+72+48=, 194
46+57-87=, 16
99+32-87=, 44
59+11-68=, 2
35-78-40=, -83
57-85+87=, 59
94-88-96=, -90
34+33-86=, -19
68+21+85=, 174
63+21+94=, 178
97+42-90=, 49
37+41-12=, 66
35+24+55=, 114
52+11+81=, 144
85-27-97=, -39
93+30+37=, 160
64-45-12=, 7
33-26+75=, 82
73-33+50=, 90
35-10+78=, 103
33+33-18=, 48
23-76+82=, 29
52+80-67=, 65
83+78+23=, 184
71+47+95=, 213
90+70+71=, 231
49-65-58=, -74
28-74+56=, 10
24+80-72=, 32
38-53+93=, 78
47+55+85=, 187
69+58+67=, 194
44-18-53=, -27
42+84-54=, 72
64+41-47=, 58
62+73-69=, 66
50+15+42=, 107
63+60+88=, 211
74+90-23=, 141
89-44+11=, 56
31+33+46=, 110
97-98-95=, -96
19+12+96=, 127
90+35+40=, 165
76-11+84=, 149
66-15+87=, 138
41-61-67=, -87
63+15+51=, 129
24+11-94=, -59
35+96+78=, 209
73-40-82=, -49
44+79+26=, 149
47+63-93=, 17
63+96+35=, 194
60-11+40=, 89
94+12+36=, 142
46-49+23=, 20
67-91+66=, 42
72-68+10=, 14
92-69-27=, -4
93-18+31=, 106
37-40+61=, 58
92+86+89=, 267
31-36+16=, 11
60+76-72=, 64
79-28-41=, 10
99-23-78=, -2
61-18+72=, 115
19-70-66=, -117
93+49-84=, 58
18+18-74=, -38
45+11-65=, -9
61+64-69=, 56
51+63+77=, 191
10+29+48=, 87
76+92-90=, 78
38+71-59=, 50
96+39-61=, 74
81-40+27=, 68
20-56+58=, 22
11+57+55=, 123
20+45+48=, 113
62-33-13=, 16
13+77-20=, 70
96+59-78=, 77
12+87+46=, 145
34+39-54=, 19
72-16+78=, 134
69+37-20=, 86
46+82-30=, 98
68-60+36=, 44
57+61-59=, 59
55+53-86=, 22
60-97-90=, -127
85-26-86=, -27
21-61+83=, 43
35+28-55=, 8
86+68-74=, 80
76-91+37=, 22
34+65-93=, 6
29+38-48=, 19
26+94+23=, 143
84-69+50=, 65
44-57+27=, 14
76-56+13=, 33
53+49-52=, 50
21-57-35=, -71
67+69+59=, 195
71-41+98=, 128
82-19+85=, 148
23+44-43=, 24
44-58+44=, 30
16-92-13=, -89
40-41-96=, -97
64+25-71=, 18
32-38-26=, -32
23+81-45=, 59
37+79+52=, 168
85+64-13=, 136
78-49-59=, -30
61-58+98=, 101
12+46-70=, -12
62+94+57=, 213
94+24+78=, 196
87-43-85=, -41
80-38+64=, 106
94+71-79=, 86
34+81-32=, 83
56-73-10=, -27
82+97+77=, 256
74+91+57=, 222
60-96-49=, -85
13-86-32=, -105
57-25+25=, 57
97+47+41=, 185
31-93+36=, -26
95-11-53=, 31
51+62-48=, 65
30+60+83=, 173
45+17-20=, 42
74+86+18=, 178
29-25+57=, 61
79-70+47=, 56
43+67-64=, 46
75+86-42=, 119
52+28+58=, 138
43+36-59=, 20
56-39-91=, -74
53-42+18=, 29
42-34-95=, -87
19+83+27=, 129
32-21+72=, 83
60+73+29=, 162
51-55+10=, 6
88+38+28=, 154
68-41-21=, 6
13+37-75=, -25
42+87-62=, 67
33-16+19=, 36
56+39-68=, 27
18-54+61=, 25
65+16+60=, 141
38-95-67=, -124
13+15+17=, 45
56-13+96=, 139
44-26+13=, 31
85-34+90=, 141
28+36-31=, 33
93+99-24=, 168
65-25-52=, -12
56+84+56=, 196
57+53+29=, 139
90-38-27=, 25
20-62+26=, -16
45-20+90=, 115
80+73-83=, 70
89+12-34=, 67
21+62+11=, 94
10-53-97=, -140
70+15-54=, 31
93-63-47=, -17
77+35-79=, 33
16+81+67=, 164
52+63+96=, 211
57+27+89=, 173
24+24-38=, 10
51-18-16=, 17
40-44+63=, 59
64+68-44=, 88
78+45+44=, 167
22-34-55=, -67
57+38+98=, 193
80+75-88=, 67
20-38-12=, -30
28-88-92=, -152
45-41+74=, 78
81-47+98=, 132
73-70+84=, 87
32+13+15=, 60
53+33-32=, 54
79-36-61=, -18
16+18+69=, 103
49-68-63=, -82
71+38-43=, 66
91-44+84=, 131
39+98+39=, 176
14+45+70=, 129
32+75+69=, 176
60-97+49=, 12
55+66-47=, 74
77+50-50=, 77
96+17-24=, 89
81+36+52=, 169
19+20+96=, 135
24+19-53=, -10
46+59-15=, 90
72-25+20=, 67
78+67-44=, 101
67+48-40=, 75
49+93-23=, 119
63-66-33=, -36
33+13-40=, 6
60+77+14=, 151
80-12-13=, 55
21-35-13=, -27
22-45-11=, -34
65-62-35=, -32
79+68-80=, 67
33+50+86=, 169
65-86+49=, 28
26+19+90=, 135
95-82+57=, 70
84+56+78=, 218
75+41+79=, 195
22+19+40=, 81
19+48+81=, 148
91+79-18=, 152
69-17-48=, 4
44+99+34=, 177
21+45-35=, 31
41-15-63=, -37
77-55-54=, -32
61+95+13=, 169
86-44+24=, 66
84-48-45=, -9
77+58+41=, 176
29-40-17=, -28
24-30-60=, -66
88-81-68=, -61
77+70-85=, 62
86+62-75=, 73
36+25-63=, -2
19-38-11=, -30
10+51-83=, -22
47-15+51=, 83
73-35+83=, 121
73-99-62=, -88
35-48-29=, -42
87-58-92=, -63
72-99+19=, -8
87-43-68=, -24
94-86+68=, 76
45+20+23=, 88
68-32+18=, 54
91-37-16=, 38
53+38-38=, 53
81+50-52=, 79
16+22+95=, 133
31+16+41=, 88
57-28+75=, 104
18-46+19=, -9
95-60+10=, 45
33+64+83=, 180
18+39+75=, 132
55+63+13=, 131
62-40+36=, 58
15+76-23=, 68
25-68+82=, 39
48+90+28=, 166
50+15+94=, 159
83+11+43=, 137
35-59-52=, -76
38+65-98=, 5
94-47+65=, 112
15-73-76=, -134
95-58+17=, 54
59-61+41=, 39
70-26-83=, -39
69+63+54=, 186
10-93+21=, -62
86-38-32=, 16
30+19-84=, -35
88-55+78=, 111
50+67+17=, 134
66+34+76=, 176
25+28+89=, 142
39-99+26=, -34
18+93-97=, 14
14-58+34=, -10
69-93+70=, 46
95+63+43=, 201
64-97-31=, -64
49-85-46=, -82
89-59-92=, -62
47-72+85=, 60
42+11+74=, 127
15+66+29=, 110
26+66-48=, 44
13+96+72=, 181
46-86+73=, 33
42+17+10=, 69
12+10+49=, 71
20-80+88=, 28
59+70-62=, 67
23-30-67=, -74
60-69+74=, 65
34-75+78=, 37
20+54+29=, 103
64+63+24=, 151
84-25+66=, 125
51+74-85=, 40
78-71-35=, -28
76-26+42=, 92
41+83+34=, 158
95-87+21=, 29
71-33+44=, 82
18-95-98=, -175
38+89-50=, 77
66+94+30=, 190
16-30+18=, 4
11-28-25=, -42
16+10-27=, -1
16+74+26=, 116
16-44-22=, -50
19+66+68=, 153
95-11-13=, 71
66+43+54=, 163
45+23-76=, -8
29+44-79=, -6
65-32-39=, -6
55-51-61=, -57
57-18+75=, 114
17-13-20=, -16
46-26-40=, -20
40-83+87=, 44
68+92+52=, 212
39-38+29=, 30
20-89+41=, -28
35-99+11=, -53
24+23+15=, 62
10-21-51=, -62
21-29+72=, 64
99-70-35=, -6
71+98+90=, 259
27+49+53=, 129
13-44+74=, 43
26+41-79=, -12
28+42-97=, -27
55-25+62=, 92
61+63+64=, 188
67-41-67=, -41
14-10+99=, 103
18-23-16=, -21
93-68-36=, -11
51-51-54=, -54
21+83+24=, 128
12-81-56=, -125
37-99+24=, -38
76-65-13=, -2
82+79-31=, 130
32+26-16=, 42
76+89-50=, 115
74-67-65=, -58
56-50+26=, 32
76-73-39=, -36
20+49-67=, 2
73-68-48=, -43
51+63-59=, 55
90+55+97=, 242
40-76+88=, 52
98+20+79=, 197
80+53-55=, 78
55+37-31=, 61
64-44-37=, -17
46+98-92=, 52
19-52-23=, -56
21+27-30=, 18
18-49-98=, -129
84-87+37=, 34
37+76+13=, 126
92-86-70=, -64
35+44-86=, -7
80+33+35=, 148
29+13+78=, 120
24+98+29=, 151
24-56+75=, 43
95+12+10=, 117
93+94+29=, 216
53-29-35=, -11
64+13+98=, 175
40-10+36=, 66
44-13+21=, 52
71+93+12=, 176
33+31+47=, 111
29-85-18=, -74
16-66-27=, -77
29+22-91=, -40
45-74+39=, 10
84+82+21=, 187
78-40-80=, -42
30-39+30=, 21
10+34+42=, 86
40-60+43=, 23
63-98-36=, -71
93+94-95=, 92
15-44-64=, -93
45-75-98=, -128
87+15-35=, 67
89-44-66=, -21
12+21+23=, 56
72+11-58=, 25
41-66+86=, 61
63+88-75=, 76
80+32+55=, 167
75-60-34=, -19
81-72-48=, -39
49+16-35=, 30
37+95-23=, 109
85+39-97=, 27
54-98+94=, 50
37-77+57=, 17
78+80+32=, 190
24-48+27=, 3
40-77+61=, 24
70+55+85=, 210
86+55+53=, 194
98-22+56=, 132
12-59+10=, -37
48-12-71=, -35
52+45+25=, 122
43-70+90=, 63
29-16+26=, 39
46-21+87=, 112
53-68-94=, -109
13+84+99=, 196
82+53+98=, 233
89+83-28=, 144
16+22+60=, 98
84+19+39=, 142
96-16-10=, 70
27-93+34=, -32
55+82-89=, 48
93-49-90=, -46
37+84-46=, 75
50+13+63=, 126
14+85+77=, 176
54-17-39=, -2
13-74+10=, -51
36+87-38=, 85
93+30+91=, 214
12-99+31=, -56
56+40+75=, 171
60-11+21=, 70
30+54+32=, 116
34-25+31=, 40
23+83+39=, 145
62+90-26=, 126
86+52-87=, 51
48-52-91=, -95
78-52+67=, 93
85+97-51=, 131
56-27+11=, 40
71-58+96=, 109
46-39-60=, -53
58+27-25=, 60
53-67-58=, -72
97-97+84=, 84
81-12-12=, 57
19+46-33=, 32
32+25+26=, 83
17+91-13=, 95
11-35-26=, -50
24-56-84=, -116
94-21+88=, 161
22+59+95=, 176
30-31-73=, -74
47+81+54=, 182
38+24-88=, -26
57+53-44=, 66
78+19-18=, 79
83-57+68=, 94
37-46-56=, -65
65-89+67=, 43
82+12+12=, 106
77-71-52=, -46
70+66-48=, 88
41-85-25=, -69
97-74-27=, -4
29+66+16=, 111
71+88-61=, 98
15+90-73=, 32
91+35-81=, 45
36-68-82=, -114
47+37-24=, 60
46-47+16=, 15
75+81-70=, 86
35-63-61=, -89
18-28-91=, -101
55+17+68=, 140
76-28-76=, -28
72-45-57=, -30
93+13+28=, 134
87+25-66=, 46
82+78+69=, 229
29-81-61=, -113
56-49+70=, 77
18+63-82=, -1
12-41-44=, -73
32-70-14=, -52
37+61-85=, 13
79+42-76=, 45
90-43-64=, -17
29-16+26=, 39
77-61-19=, -3
96+46-61=, 81
91-19+22=, 94
70+19-23=, 66
34-32-96=, -94
26+58+35=, 119
82-26+84=, 140
65+31+75=, 171
63-26-74=, -37
21+11+57=, 89
64+91-32=, 123
19-39-54=, -74
97-40+37=, 94
61+49-16=, 94
44-62+14=, -4
66-56+17=, 27
68-10-84=, -26
24-34-46=, -56
66+20-36=, 50
32+24-90=, -34
56-94-40=, -78
40+46-87=, -1
75-22-86=, -33
26-25+90=, 91
54+27-66=, 15
20+91-87=, 24
43-91+34=, -14
68-11-25=, 32
83+63-49=, 97
27+25-19=, 33
30+42+80=, 152
38-53-89=, -104
41-60+88=, 69
12+92+91=, 195
30-31-24=, -25
63-63+41=, 41
47-63+13=, -3
25+54-16=, 63
71+58-72=, 57
56-32-11=, 13
67+20+17=, 104
17-53-50=, -86
99-88-71=, -60
72+38-72=, 38
89+11-72=, 28
51+39+59=, 149
69-30-33=, 6
88+72+16=, 176
19+66-75=, 10
20-39+72=, 53
38+82+75=, 195
74-78-75=, -79
27-41+20=, 6
91+39+16=, 146
26-13+28=, 41
41-22-88=, -69
82+42+98=, 222
88+57+89=, 234
97+13-93=, 17
85-11+30=, 104
60+52-63=, 49
58+18+66=, 142
27+24-33=, 18
10+63-34=, 39
22-26-83=, -87
98-89+65=, 74
33-56+22=, -1
24-46+51=, 29
13+34-65=, -18
88-80-44=, -36
43-21+17=, 39
58+94+99=, 251
74-73+34=, 35
66+88-22=, 132
42-14+58=, 86
14-89-83=, -158
80-78+51=, 53
99-90+33=, 42
62-64+55=, 53
92-94-34=, -36
48+41+27=, 116
85-95+39=, 29
68+30+23=, 121
41-55-58=, -72
92+26-90=, 28
51+44-97=, -2
53-87+98=, 64
29+75+80=, 184
48+19-96=, -29
35+38-22=, 51
30-33+59=, 56
66+86-93=, 59
98-68+80=, 110
70+52+77=, 199
49-52-28=, -31
88+22+52=, 162
14+90+77=, 181
55-42+39=, 52
12-34+90=, 68
29-63-28=, -62
40+55+54=, 149
40-29-69=, -58
62+99+50=, 211
33+37-22=, 48
74-59-13=, 2
19+57-32=, 44
42-59+21=, 4
55-97+92=, 50
13-16+68=, 65
16+74+28=, 118
97+15-24=, 88
78-84+64=, 58
50+77+39=, 166
90-81-43=, -34
27-34-38=, -45
77-33+40=, 84
62+56+18=, 136
35+92-44=, 83
76+16+60=, 152
81-33-23=, 25
11+27+63=, 101
92+25+97=, 214
60+60-72=, 48
12+40+47=, 99
49-89+56=, 16
94-24+28=, 98
27+20+76=, 123
58+62+51=, 171
69-53-49=, -33
60-46-96=, -82
74+33-35=, 72
32-98+95=, 29
97-55+46=, 88
11-60+63=, 14
89-48+69=, 110
16-65+46=, -3
50+43-71=, 22
11-73+18=, -44
14+17+81=, 112
83+47+20=, 150
24+99-38=, 85
47+38+16=, 101
67+17-23=, 61
89+98-80=, 107
90+81+53=, 224
75-31+61=, 105
60-44+81=, 97
19-15+57=, 61
17-24+72=, 65
82+14+71=, 167
97-84+83=, 96
51-65+30=, 16
44+64+72=, 180
46-75+52=, 23
25+17+43=, 85
29+52+21=, 102
42-53-39=, -50
93+34-43=, 84
72+51-98=, 25
49-61+21=, 9
74+12-59=, 27
50+94-64=, 80
36+53-89=, 0
13-57-13=, -57
82-28-94=, -40
68+61-20=, 109
77-15-89=, -27
27-72-88=, -133
47+54-67=, 34
40-65-42=, -67
87-56-56=, -25
90-25-34=, 31
15+20-35=, 0
75+21-65=, 31
33+79+64=, 176
34-81-48=, -95
32-72+59=, 19
79+75+71=, 225
17+45+42=, 104
73+56-91=, 38
21+99-86=, 34
19+98-82=, 35
12-41-73=, -102
82+67-40=, 109
12+73-15=, 70
94-60-85=, -51
21-56-74=, -109
23+92+91=, 206
70+95+40=, 205
88-59+76=, 105
20+35+83=, 138
89-28+36=, 97
75-12+52=, 115
12+72-12=, 72
67-59-34=, -26
53+80+68=, 201
37+75-72=, 40
53+66-78=, 41
48-91-10=, -53
87-41+37=, 83
10-49-16=, -55
48+20-86=, -18
57-39-50=, -32
48-73-37=, -62
20-93-21=, -94
42+33-35=, 40
48-49+32=, 31
19-51+78=, 46
96-29+62=, 129
84+57+28=, 169
16-60+45=, 1
45+38-60=, 23
16+42-48=, 10
55+59+65=, 179
67+43-26=, 84
12+12+34=, 58
43+50-37=, 56
95+26+84=, 205
64-12+67=, 119
86-36+11=, 61
59+28-70=, 17
24+64+34=, 122
45-65+12=, -8
97+88+49=, 234
16+43-59=, 0
37-44-35=, -42
37+43+77=, 157
26-48-99=, -121
23-74-84=, -135
92-26-29=, 37
27+52+68=, 147
99+31+62=, 192
75-23-19=, 33
93+26-10=, 109
51+20-28=, 43
99-73+65=, 91
13-81+51=, -17
89+87-62=, 114
62+95-89=, 68
95+26-47=, 74
47-51-47=, -51
48-60-74=, -86
60+31+29=, 120
46+89+95=, 230
57-12-27=, 18
74+74-83=, 65
57-23-77=, -43
61+59-32=, 88
59+78-17=, 120
48-88+46=, 6
35-87-83=, -135
94+99+99=, 292
83-75+45=, 53
52-13+42=, 81
46-89+26=, -17
93-64+42=, 71
90-40+28=, 78
86+66-71=, 81
96+14+68=, 178
16+86+73=, 175
59+90-68=, 81
96-60-88=, -52
97-49+64=, 112
67-92-18=, -43
79+14+70=, 163
96-51+69=, 114
90+94+79=, 263
95-50+99=, 144
78+11+82=, 171
43+98-67=, 74
85+43+13=, 141
90+89+47=, 226
75-83-65=, -73
23+96-45=, 74
83+65+96=, 244
22-67+14=, -31
71+22-88=, 5
93+17-33=, 77
19-89+20=, -50
37-60-77=, -100
86+45-71=, 60
72-83+15=, 4
11+87+17=, 115
28-45+89=, 72
28+16+48=, 92
25+40-70=, -5
78-89+92=, 81
49-37+27=, 39
46-57-46=, -57
53-64+96=, 85
22-43+17=, -4
31+37-89=, -21
77-82-43=, -48
84-90+15=, 9
90+14-32=, 72
45+86+65=, 196
22-87+63=, -2
16-82+75=, 9
10+42+64=, 116
91-36-68=, -13
17+79-50=, 46
27+58+80=, 165
56+31+31=, 118
34+55+98=, 187
92+18+80=, 190
13-57-61=, -105
57+88+77=, 222
71-91-99=, -119
82-26+10=, 66
52-39-99=, -86
80-71+63=, 72
40-43+82=, 79
36-23-44=, -31
35+15-56=, -6
41+20-87=, -26
91-72+96=, 115
49+46-47=, 48
77-74+41=, 44
28+82-66=, 44
61-78+48=, 31
62+88-24=, 126
43+84+34=, 161
15-24-19=, -28
43+14+14=, 71
95+97+82=, 274
32-21-85=, -74
70-85-91=, -106
23-31+29=, 21
84+66+63=, 213
92-50+81=, 123
92+24+29=, 145
62+47-17=, 92
44+14-49=, 9
14+20-82=, -48
62-52-79=, -69
85-83-82=, -80
17+53-42=, 28
47-91-26=, -70
54-64+68=, 58
19-70-56=, -107
82+99+99=, 280
35+83-90=, 28
84+71+66=, 221
44-47+72=, 69
74-36+38=, 76
28+63+96=, 187
75-30-65=, -20
81-17-97=, -33
99-18-17=, 64
25+41-81=, -15
28-42+62=, 48
79+82+97=, 258
34-92+44=, -14
39+50-19=, 70
15-97-54=, -136
46+26+93=, 165
13-44+86=, 55
36-32-55=, -51
14-66-97=, -149
25+34-47=, 12
76+82-41=, 117
77+11-68=, 20
52-54-96=, -98
60-74+29=, 15
31+68+20=, 119
19+44-84=, -21
96+32-88=, 40
72+50+14=, 136
84+63-69=, 78
36+87+38=, 161
43+11+39=, 93
40-19-56=, -35
70-80-17=, -27
59-99+84=, 44
49-53+32=, 28
29+62-98=, -7
99+59+68=, 226
97+30+85=, 212
69+13-71=, 11
73-48-10=, 15
32+19-85=, -34
76+43-84=, 35
94-38-83=, -27
88+92-15=, 165
42+38+80=, 160
22-42-52=, -72
16-44-19=, -47
72+58-69=, 61
95+75-33=, 137
33+97-77=, 53
63+89+62=, 214
20-17-17=, -14
50+39+25=, 114
37-66+72=, 43
63+17-21=, 59
46-36-41=, -31
93-60-28=, 5
79-91-58=, -70
52+32+70=, 154
39-93-28=, -82
96+40-87=, 49
66+83+61=, 210
82+51+61=, 194
21+89-50=, 60
32+26+51=, 109
85+11+17=, 113
54-15-68=, -29
45+94-77=, 62
68+90+19=, 177
24+66-34=, 56
44+91+33=, 168
29-58-62=, -91
54-56+25=, 23
21+70-80=, 11
86-17-65=, 4
14-63-46=, -95
32+32+97=, 161
31-64-54=, -87
24+57+68=, 149
94-99+96=, 91
35-55+67=, 47
93-99+67=, 61
68-18-55=, -5
97+62+48=, 207
78+40-50=, 68
40+54+37=, 131
81+90+80=, 251
24+81+12=, 117
75-28-60=, -13
20+94-68=, 46
84-57-13=, 14
63+67-10=, 120
19+93-90=, 22
